longitude,latitude,Y.Lat,X.Long,ID
-97856166,30221238,30.221238,-97.856166,800122
-97855615,30203196,30.203196,-97.855615,800123
-97855394,30208860,30.20886,-97.855394,800124
-97855045,30154458,30.154458,-97.855045,800125
-97854793,30211165,30.211165,-97.854793,800126
-97854784,30194957,30.194957,-97.854784,800127
-97854507,30154986,30.154986,-97.854507,800128
-97854240,30155021,30.155021,-97.85424,800129
-97854057,30237770,30.23777,-97.854057,800130
-97853697,30222410,30.22241,-97.853697,800131
-97853087,30205972,30.205972,-97.853087,800132
-97853045,30182009,30.182009,-97.853045,800133
-97853040,30207265,30.207265,-97.85304,800134
-97852857,30206337,30.206337,-97.852857,800135
-97852645,30156536,30.156536,-97.852645,800136
-97852474,30211615,30.211615,-97.852474,800137
-97852356,30209147,30.209147,-97.852356,800138
-97851735,30143601,30.143601,-97.851735,800139
-97851531,30230180,30.23018,-97.851531,800140
-97851416,30199177,30.199177,-97.851416,800141
-97850705,30399455,30.399455,-97.850705,800142
-97850691,30224446,30.224446,-97.850691,800143
-97850619,30175518,30.175518,-97.850619,800144
-97850619,30175518,30.175518,-97.850619,800145
-97850463,30211145,30.211145,-97.850463,800146
-97850387,30204930,30.20493,-97.850387,800147
-97850335,30214434,30.214434,-97.850335,800148
-97849774,30230204,30.230204,-97.849774,800149
-97849767,30164700,30.1647,-97.849767,800150
-97849544,30152359,30.152359,-97.849544,800151
-97848835,30197849,30.197849,-97.848835,800152
-97848675,30158568,30.158568,-97.848675,800153
-97848657,30233894,30.233894,-97.848657,800154
-97848311,30212674,30.212674,-97.848311,800155
-97847511,30375940,30.37594,-97.847511,800156
-97847352,30154409,30.154409,-97.847352,800157
-97846791,30418092,30.418092,-97.846791,800158
-97846578,30207670,30.20767,-97.846578,800159
-97846246,30246458,30.246458,-97.846246,800160
-97846246,30246458,30.246458,-97.846246,800161
-97846033,30232621,30.232621,-97.846033,800162
-97845964,30170534,30.170534,-97.845964,800163
-97845863,30201540,30.20154,-97.845863,800164
-97845852,30201434,30.201434,-97.845852,800165
-97845063,30326778,30.326778,-97.845063,800166
-97844903,30366088,30.366088,-97.844903,800167
-97844796,30203949,30.203949,-97.844796,800168
-97843994,30259326,30.259326,-97.843994,800169
-97843901,30373347,30.373347,-97.843901,800170
-97843699,30157787,30.157787,-97.843699,800171
-97842809,30209577,30.209577,-97.842809,800172
-97842285,30189057,30.189057,-97.842285,800173
-97842285,30189057,30.189057,-97.842285,800174
-97842285,30189057,30.189057,-97.842285,800175
-97841978,30188392,30.188392,-97.841978,800176
-97841883,30228678,30.228678,-97.841883,800177
-97841712,30214320,30.21432,-97.841712,800178
-97841664,30223545,30.223545,-97.841664,800179
-97841373,30202088,30.202088,-97.841373,800180
-97841318,30433008,30.433008,-97.841318,800181
-97841269,30144431,30.144431,-97.841269,800182
-97840890,30211874,30.211874,-97.84089,800183
-97840857,30362808,30.362808,-97.840857,800184
-97840664,30205088,30.205088,-97.840664,800185
-97840589,30205300,30.2053,-97.840589,800186
-97840484,30165763,30.165763,-97.840484,800187
-97840426,30435135,30.435135,-97.840426,800188
-97840426,30435135,30.435135,-97.840426,800189
-97840272,30198549,30.198549,-97.840272,800190
-97840234,30211097,30.211097,-97.840234,800191
-97840145,30198752,30.198752,-97.840145,800192
-97840135,30186860,30.18686,-97.840135,800193
-97839872,30156040,30.15604,-97.839872,800194
-97839845,30201321,30.201321,-97.839845,800195
-97839515,30419061,30.419061,-97.839515,800196
-97839511,30170012,30.170012,-97.839511,800197
-97838470,30231116,30.231116,-97.83847,800198
-97838300,30185018,30.185018,-97.8383,800199
-97838163,30203698,30.203698,-97.838163,800200
-97838026,30362034,30.362034,-97.838026,800201
-97837926,30151745,30.151745,-97.837926,800202
-97837378,30201736,30.201736,-97.837378,800203
-97837375,30208147,30.208147,-97.837375,800204
-97837276,30256859,30.256859,-97.837276,800205
-97836751,30392142,30.392142,-97.836751,800206
-97836321,30168763,30.168763,-97.836321,800207
-97836298,30157007,30.157007,-97.836298,800208
-97836252,30208177,30.208177,-97.836252,800209
-97836027,30153745,30.153745,-97.836027,800210
-97835986,30160166,30.160166,-97.835986,800211
-97835569,30215777,30.215777,-97.835569,800212
-97835569,30215777,30.215777,-97.835569,800213
-97835515,30157167,30.157167,-97.835515,800214
-97835300,30252987,30.252987,-97.8353,800215
-97833977,30233789,30.233789,-97.833977,800216
-97833933,30254714,30.254714,-97.833933,800217
-97833471,30174487,30.174487,-97.833471,800218
-97833389,30206333,30.206333,-97.833389,800219
-97833298,30174412,30.174412,-97.833298,800220
-97832811,30257839,30.257839,-97.832811,800221
-97832777,30255986,30.255986,-97.832777,800222
-97832762,30248675,30.248675,-97.832762,800223
-97832065,30201574,30.201574,-97.832065,800224
-97832055,30183630,30.18363,-97.832055,800225
-97831812,30253239,30.253239,-97.831812,800226
-97831635,30203980,30.20398,-97.831635,800227
-97831420,30198627,30.198627,-97.83142,800228
-97831336,30433002,30.433002,-97.831336,800229
-97831328,30179584,30.179584,-97.831328,800230
-97830830,30433886,30.433886,-97.83083,800231
-97830708,30435153,30.435153,-97.830708,800232
-97829763,30184481,30.184481,-97.829763,800233
-97829621,30295969,30.295969,-97.829621,800234
-97829344,30162392,30.162392,-97.829344,800235
